"Acer Iconia A3-A10","a3-a10"
"Coolpad Canvas","cp3636a"
"Coolpad Catalyst","coolpad 3622a"
"CoolPAD Catalyst 3622A","3622a"
"Crosscall ACTION-X3","action-x3"
"CrossCall Trekker X3","trekker-x3"
"Cubot Dinosaur","dinosaur"
"CUBOT Note S","note s"
"Cubot X18","x18"
"Doogee DG500 Discovery ","dg500"
"Edison 3","edison 3"
"Ellipsis 8","qtasun1"
"Essential Phone PH-1","ph-1"
"Fairphone 2","fp2"
"Four Mobile K500","k500"
"Fujitsu Arrows","f-01j"
"Galaxy J3","sm-j330fn"
"Galaxy J3","sm-j320vpp"
"Galaxy Note8","scv37"
"Galaxy Tab 2","gt-p5113"
"Galaxy Tab 3 10.1","gt-p5210"
"Galaxy Tab A","sm-t550"
"Galaxy Tab E","sm-t560nu"
"general mobile","general mobile 4g dual"
"General Mobile 4G","general mobile 4g"
"General Mobile Discovery","discovery"
"General Mobile Discovery Elite","discovery elite"
"General Mobile Discovery II Mini","discovery ii mini"
"General Mobile ETAB 5","etab5"
"General Mobile GM 5","gm 5"
"General Mobile GM 5 Plus","gm 5 plus"
"General Mobile GM 5 Plus","gm 5 d"
"General Mobile GM 6","gm 6"
"General Mobile GM 6","gm6_tur"
"General Mobile GM 6","gm 6 d"
"General Mobile GM 8","gm 8"
"General Mobile GM 8","gm 8 d"
"General Mobile GM6","gm6"
"General Mobile GM8","gm8 go"
"Generic android tablet","generic android tablet"
"Gigaset Gs160","gs160"
"Gigaset GS170","gs170"
"Gionee M6","m6"
"GM 5 Plus","gm 5 plus d"
"Google Nexus 10","nexus 10"
"Google Nexus 5","nexus 5"
"Google Nexus 5X","nexus 5x"
"Google Nexus 5x","h790"
"Google Nexus 6","nexus 6"
"Google Nexus 6P","nexus 6p"
"Google Nexus 7","nexus 7"
"Google Pixel","pixel"
"Google Pixel 2","pixel 2"
"Google Pixel 2","g011a"
"Google Pixel 2 XL","pixel 2 xl"
"Google Pixel 2 XL Phone","g011c"
"Google Pixel XL","pixel xl"
"Hisense F23","hisense f23"
"Hisense F23","f23"
"Honor 5X","kiw-l24"
"HTC 10","6545lvw"
"HTC 10","htc6545lvw"
"HTC 10","2ps64"
"HTC 10","2ps6500"
"HTC 10","htc 10"
"HTC Bolt","2pyb2"
"HTC Desire","desire"
"HTC Desire","620g"
"HTC Desire 10 lifestyle","desire 10 lifestyle"
"HTC Desire 10 lifestyle","htc desire 10 lifestyle"
"Htc Desire 10 Pro","desire 10 pro"
"HTC Desire 510","desire 510"
"HTC Desire 526","desire 526"
"HTC Desire 526G","desire 526g"
"HTC Desire 526G","htc desire 526g dual sim"
"HTC Desire 530","d160lvw"
"HTC Desire 530","d160lvwpp"
"HTC Desire 530","2pst100"
"HTC Desire 530","desire 530"
"HTC Desire 530","htc desire 530"
"HTC Desire 610","desire 610"
"HTC Desire 620","desire 620"
"HTC Desire 626","desire 626s"
"HTC Desire 626","htc desire 626"
"HTC Desire 626","htc desire 626s"
"HTC Desire 626","desire 626g"
"HTC Desire 626","desire 626"
"HTC Desire 626","0pkx220"
"HTC Desire 626s","0pm92"
"HTC Desire 628","desire 628"
"HTC Desire 650","htc desire 650"
"HTC Desire 650","desire 650"
"HTC Desire 728","desire 728"
"HTC Desire 728","htc desire 728 dual sim"
"HTC Desire 728G","desire 728g"
"HTC Desire 816","desire 816"
"HTC Desire 816","desire 816g"
"HTC Desire 820","htc desire 820"
"HTC Desire 820","desire 820"
"HTC Desire 820G+","desire 820g plus dual sim"
"HTC Desire 820Gplus","desire 820g"
"HTC Desire 820Gplus","htc desire 820g plus dual sim"
"HTC Desire 825","desire 825"
"HTC Desire 828","desire 828"
"HTC Desire 830","desire 830"
"HTC Google Nexus 9","nexus 9"
"HTC One","htc one"
"HTC One A9","one a9"
"HTC One A9","2pq93"
"HTC One A9","htc one a9"
"HTC One A9s","one a9s"
"HTC One A9s","htc one a9s"
"Htc One M7","one m7"
"HTC ONE M8","6525lvw"
"HTC One M8","m8"
"HTC One M8","one m8"
"HTC One M8","htc one_m8"
"HTC One M8s","one m8s"
"HTC One M9","htc one m9"
"HTC One M9","6535lvw"
"HTC One M9","m9"
"HTC One M9","one m9"
"HTC One M9plus","m9 plus"
"HTC One Mini 2","one mini 2"
"htc u play","htc u play"
"HTC U Play","u play"
"HTC U Ultra","htc u ultra"
"HTC U Ultra","u ultra"
"HTC U11","htc u11"
"HTC U11","u11"
"HTC U11","2pzc5"
"HTC U11 Life","u11 life"
"Huawei Ascend G620S-L01","g620s-l01"
"Huawei Ascend G7","huawei g7-l01"
"Huawei Ascend G7","g7-l01"
"Huawei Ascend Mate 7","mt7-l09"
"Huawei Ascend P7","ascend p7 l10"
"Huawei Ascend P7","huawei p7-l10"
"Huawei Ascend P8","huawei gra-l09"
"Huawei Ascend XT","h1611"
"Huawei Ascend XT2","h1711"
"Huawei dtab","d-02h"
"Huawei Elate","h1711z"
"Huawei G Play Mini","chc-u01"
"Huawei G8","huawei rio-l01"
"Huawei G8","rio-l01"
"Huawei GR3","huawei tag-l21"
"Huawei GR3","tag-l21"
"Huawei GR5","kii-l05"
"Huawei GR5","bll-l21"
"Huawei GR5","bll-l22"
"Huawei GR5 KII-L21","kii-l21"
"Huawei GT3","nmo-l31"
"Huawei Honor 10","col-l29"
"Huawei Honor 3C","h30-u10"
"Huawei Honor 4A","scl-tl00h"
"Huawei Honor 4C","chm-u01"
"Huawei Honor 4X","che2-l11"
"Huawei Honor 5C","nem-l51"
"Huawei Honor 5X","kiw-l21"
"Huawei Honor 6","h60-l04"
"Huawei Honor 6A","dli-tl20"
"HUAWEI Honor 6A","dli-l22"
"Huawei Honor 6A Pro","dli-l42"
"Huawei Honor 6C","dig-l21hn"
"Huawei Honor 6C Pro","jmm-l22"
"Huawei Honor 6X","bln-l21"
"Huawei Honor 6x","bln-l24"
"Huawei Honor 7","plk-l01"
"Huawei Honor 7 Lite","nem-l21"
"Huawei Honor 7A","aum-l29"
"Huawei Honor 7S","dua-l22"
"Huawei Honor 7X","bnd-l24"
"Huawei Honor 7X","bnd-l21"
"Huawei Honor 8","frd-l09"
"Huawei Honor 8","frd-l04"
"Huawei Honor 8","frd-l19"
"Huawei Honor 8 Lite","pra-tl10"
"Huawei Honor 8 Pro","duk-l09"
"Huawei Honor 9","stf-l09"
"Huawei Honor 9","honor 9 stf-l09"
"Huawei Honor 9 Lite","lld-l21"
"Huawei Honor 9 Lite","lld-al10"
"Huawei Honor 9 Lite","lld-l31"
"Huawei Honor Holly","hol-u19"
"Huawei Honor View 10","bkl-l09"
"HUAWEI Mate 10","cc"
"Huawei Mate 10","bla-l09"
"Huawei Mate 10","alp-l09"
"Huawei Mate 10 Lite","rne-l21"
"Huawei Mate 10 Lite L01","rne-l01"
"Huawei Mate 10 Pro","bla-l29"
"Huawei Mate 8","huawei nxt-l29"
"Huawei Mate 8","nxt-l29"
"Huawei Mate 9","mha-l29"
"HUAWEI Mate 9","mha-l09"
"Huawei Mate 9 Lite","bll-l23"
"HUAWEI Mate 9 Pro","lon-l29"
"Huawei Mate S","crr-l09"
"Huawei MediaPad","t1-701u"
"Huawei Mediapad M3","btv-w09"
"Huawei Mediapad M3","btv-dl09"
"HUAWEI MediaPad M3 Lite","bah-w09"
"Huawei MediaPad M3 Lite 10","bah-l09"
"Huawei MediaPad T1","mediapad t1 7.0"
"Huawei MediaPad T1","t1 7.0"
"Huawei MediaPad T1","t1-a21w"
"HUAWEI MediaPad T1","t1-a21l"
"Huawei MediaPad T2","fdr-a01l"
"Huawei MediaPad T3","bg2-u01"
"Huawei MediaPad T3","bg2-w09"
"Huawei MediaPad T3","kob-l09"
"HUAWEI MediaPad T3 10","ags-w09"
"Huawei MediaPad T3 10","ags-l09"
"Huawei Nexus 6P","h1512"
"Huawei Nova","huawei can-l11"
"Huawei Nova","can-l11"
"Huawei Nova","can-l01"
"HUAWEI nova 2 Plus","bac-l21"
"Huawei Nova 2i","rne-l22"
"Huawei Nova Plus","mla-l01"
