"Acer Iconia A3-A10","a3-a10"
"Samsung Galaxy Note 5 ","sm-n920r4"
"Samsung Galaxy Note 5 Duos","sm-n9208"
"Samsung Galaxy Note 5 SM","sm-n920t"
"Samsung Galaxy Note 8","sm-n950u"
"Samsung Galaxy Note 8","sm-n950f"
"Samsung Galaxy Note 8","gt-n5100"
"Samsung Galaxy Note 8","sm-n950u1"
"Samsung Galaxy Note 8","sm-n950w"
"Samsung Galaxy Note 8","sm-n9500"
"Samsung Galaxy Note 8 ","gt-n5110"
"Samsung Galaxy Note Edge","sm-n915a"
"Samsung Galaxy Note Edge","sm-n915f"
"Samsung Galaxy Note Edge","sm-n915fy"
"Samsung Galaxy Note FE","sm-n935f"
"Samsung Galaxy Note II ","gt-n7100"
"Samsung Galaxy Note Pro","sm-p905"
"Samsung Galaxy NotePRO","sm-p900"
"Samsung Galaxy On 7","sm-g600f"
"Samsung Galaxy On5","sm-g550fy"
"Samsung Galaxy On5","sm-g5520"
"Samsung Galaxy On5","sm-g5510"
"Samsung Galaxy On5","sm-g550t"
"Samsung Galaxy On5","sm-s550tl"
"Samsung Galaxy On5 ","sm-g550t1"
"Samsung Galaxy On7","sm-g600fy"
"Samsung Galaxy S","gt-s7582"
"Samsung Galaxy S","gt-s7582l"
"Samsung Galaxy S II","gt-i9100"
"Samsung Galaxy S III Mini","gt-i8190"
"Samsung Galaxy S2","s2"
"Samsung Galaxy S2 Plus","gt-i9105"
"Samsung Galaxy S2 Plus","gt-i9105p"
"Samsung Galaxy S3","gt-i9301i"
"Samsung Galaxy S3","gt-i9300"
"Samsung Galaxy S3","sch-i535"
"Samsung Galaxy S3","sgh-i747m"
"Samsung Galaxy S3","sph-l710"
"Samsung Galaxy S3","sch-s968c"
"Samsung Galaxy S3","sph-l710t"
"Samsung Galaxy S3","gt-i9305"
"Samsung Galaxy S3 mini","gt-i8200n"
"Samsung Galaxy S3 Mini","gt-i8200q"
"Samsung Galaxy S3 Neo","gt-i9301q"
"Samsung Galaxy S3 Neo","gt-i9300i"
"Samsung Galaxy S4","gt-i9505"
"Samsung Galaxy S4","gt-i9500"
"Samsung Galaxy S4","sgh-m919"
"Samsung Galaxy S4","sph-l720t"
"Samsung Galaxy S4","samsung-sgh-i337"
"Samsung Galaxy S4","sm-s975l"
"Samsung GALAXY S4","sch-r970"
"Samsung Galaxy S4","sch-i545"
"Samsung Galaxy S4","gt-i9506"
"Samsung Galaxy S4","sgh-i337m"
"Samsung Galaxy S4","sgh-i337"
"Samsung Galaxy S4 Active","gt-i9295"
"Samsung Galaxy S4 Active","sgh-i537"
"Samsung Galaxy S4 Mini","gt-i9195"
"Samsung Galaxy S4 mini","gt-i9190"
"Samsung Galaxy S4 Mini","gt-i9195i"
"Samsung Galaxy S4 Mini Duos","gt-i9192"
"Samsung Galaxy S4 Sprint","sph-l720"
"Samsung Galaxy S4 Value Edition","gt-i9515"
"Samsung Galaxy S5","sm-g900f"
"Samsung Galaxy S5","sm-g900v"
"Samsung Galaxy S5","sm-g901f"
"Samsung Galaxy S5","sm-g900a"
"Samsung Galaxy S5","sc-04f"
"Samsung Galaxy S5","sm-g900t3"
"Samsung Galaxy S5","sm-g900fq"
"Samsung Galaxy S5","sm-g900t"
"Samsung Galaxy S5","sm-g900p"
"Samsung Galaxy S5","sm-g900fd"
"Samsung Galaxy S5","sm-g900w8"
"Samsung Galaxy S5","sm-g900h"
"Samsung Galaxy S5","samsung-sm-g900a"
"Samsung Galaxy S5","sm-g900i"
"Samsung Galaxy S5","sm-g900r4"
"Samsung Galaxy S5","sm-s903vl"
"Samsung Galaxy S5","sm-g900m"
"Samsung Galaxy S5 ","sm-s902l"
"Samsung Galaxy S5 Active","sm-g870a"
"Samsung Galaxy S5 Active","samsung-sm-g870a"
"Samsung Galaxy S5 Mini","sm-g800f"
"Samsung Galaxy S5 mini","sm-g800h"
"Samsung Galaxy S5 Neo","sm-g903f"
"Samsung Galaxy S5 Neo","sm-g903w"
"Samsung Galaxy S5 Sport","sm-g860p"
"Samsung Galaxy S6","sm-g920f"
"Samsung Galaxy S6","sm-g920v"
"Samsung Galaxy S6","sm-g920p"
"Samsung Galaxy S6","sm-g920t"
"Samsung Galaxy S6","sm-g920"
"Samsung Galaxy S6","sm-s906l"
"Samsung Galaxy S6","sc-05g"
"Samsung Galaxy S6","sm-g920az"
"Samsung Galaxy S6","sm-g925"
"Samsung Galaxy S6","sm-g920a"
"Samsung Galaxy S6","sm-g920w8"
"Samsung Galaxy S6","sm-g920i"
"Samsung Galaxy S6","samsung-sm-g920a"
"Samsung Galaxy S6","sm-g920r4"
"Samsung Galaxy S6","sm-s907vl"
"Samsung Galaxy S6","sm-g920t1"
"Samsung Galaxy S6 ","sm-g925f"
"Samsung Galaxy S6 Active","sm-g890a"
"Samsung Galaxy S6 Active","samsung-sm-g890a"
"Samsung Galaxy S6 Edge","samsung-sm-g925a"
"Samsung Galaxy S6 edge","sm-g925t"
"Samsung Galaxy S6 Edge","sm-g925i"
"Samsung Galaxy S6 Edge","sm-g925v"
"Samsung Galaxy S6 Edge","sm-g925a"
"Samsung Galaxy S6 Edge","sm-g925p"
"Samsung Galaxy S6 Edge","sm-g925w8"
"Samsung Galaxy S6 Edge Plus","sm-g928f"
"Samsung Galaxy S6 Edge+","sm-g928t"
"Samsung Galaxy S6 Edge+","sm-g928v"
"Samsung Galaxy S6 Edge+","sm-g928c"
"Samsung Galaxy S6 Edge+","sm-g928a"
"Samsung Galaxy S6 Edgeplus","sm-g928p"
"Samsung Galaxy S6 Edgeplus","samsung-sm-g928a"
"Samsung Galaxy S6 edgeplus","sm-g928g"
"Samsung Galaxy S6 Edgeplus","sm-g928i"
"Samsung Galaxy S7","sm-g930f"
"Samsung Galaxy S7","sm-g935f"
"Samsung Galaxy S7","sm-g930v"
"Samsung Galaxy S7","sm-g930p"
"Samsung Galaxy S7","sm-g930t"
"Samsung Galaxy S7","sm-g930a"
"Samsung Galaxy S7","sm-g930w8"
"Samsung Galaxy S7","sm-g930r7"
"Samsung Galaxy S7","sm-g930r6"
"Samsung Galaxy S7","sm-g930k"
"Samsung Galaxy S7","s7"
"Samsung Galaxy S7","sm-g930az"
"Samsung Galaxy S7","samsung-sm-g930a"
"Samsung Galaxy S7","sm-g930r4"
"Samsung Galaxy S7","sm-g930vl"
"Samsung Galaxy S7","sm-g930u"
"Samsung Galaxy S7 ","sm-g930t1"
"Samsung Galaxy S7 Active","sm-g891a"
"Samsung Galaxy S7 Active","samsung-sm-g891a"
"Samsung Galaxy S7 Edge","sm-g935v"
"Samsung Galaxy S7 Edge","sm-g935t"
"Samsung Galaxy S7 Edge","sm-g935p"
"Samsung Galaxy S7 Edge","sm-g935a"
"Samsung Galaxy S7 Edge","scv33"
"Samsung Galaxy S7 Edge","sm-g9350"
"Samsung Galaxy S7 Edge","samsung-sm-g935a"
"Samsung Galaxy S7 Edge","sm-g935w8"
"Samsung Galaxy S7 Edge","sm-g935u"
"Samsung Galaxy S7 Edge","sm-g935r4"
"Samsung Galaxy S7 Edge","sc-02h"
"Samsung Galaxy S8","sm-g950f"
"Samsung Galaxy S8","sm-g950u"
"Samsung Galaxy S8","sm-g950w"
"Samsung Galaxy S8","sc-02j"
"Samsung Galaxy S8","scv36"
"Samsung Galaxy S8","sm-g950u1"
"Samsung Galaxy S8","s8"
"Samsung Galaxy S8 Active","sm-g892a"
"Samsung Galaxy S8 Active","sm-g892u"
"Samsung Galaxy S8 Plus","sm-g955f"
"Samsung Galaxy S8 Plus","sm-g955u"
"Samsung Galaxy S8 Plus","sm-g955w"
"Samsung Galaxy S8+","sm-g955u1"
"Samsung Galaxy S8plus","sm-g955n"
"Samsung Galaxy S8plus","sm-g9550"
"Samsung Galaxy S9","sm-g960f"
"Samsung Galaxy S9","sm-g960u"
"Samsung Galaxy S9","sm-g9600"
"Samsung Galaxy S9","sm-g960w"
"Samsung Galaxy S9","sm-g960u1"
"Samsung Galaxy S9 Plus","sm-g9650"
"Samsung Galaxy S9 Plus","sm-g965w"
"Samsung Galaxy S9+","sm-g965u1"
"Samsung Galaxy S9plus","sm-g965f"
"Samsung Galaxy S9plus","sm-g965u"
"Samsung Galaxy SIII Mini","gt-i8200"
"Samsung Galaxy SIII mini ","gt-i8190n"
"Samsung Galaxy Star 2 Plus","sm-g350e"
"Samsung Galaxy Star Pro","gt-s7262"
"Samsung Galaxy Tab","samsung-sm-t377a"
"Samsung Galaxy Tab 2","gt-p5110"
"Samsung Galaxy Tab 2","gt-p5100"
"Samsung Galaxy Tab 2","gt-p3110"
"Samsung Galaxy Tab 2 7.0","gt-p3100"
"Samsung Galaxy Tab 3","sm-t113nu"
"Samsung Galaxy Tab 3","gt-p5200"
"Samsung Galaxy Tab 3","sm-t210r"
"Samsung Galaxy Tab 3","sm-t211"
"Samsung Galaxy Tab 3","gt-p5220"
"Samsung Galaxy Tab 3","sm-t311"
"Samsung galaxy tab 3","sm-t315"
"SAMSUNG Galaxy Tab 3","sm-t310"
"Samsung Galaxy TAB 3","sm-t210"
"Samsung Galaxy Tab 3","sm-t217s"
"Samsung Galaxy Tab 3 Lite","sm-t113"
"Samsung Galaxy Tab 3 Lite","sm-t111"
"Samsung Galaxy Tab 3 Lite","sm-t110"
"Samsung Galaxy Tab 3 Lite","sm-t116"
"Samsung Galaxy Tab 3 V","sm-t116nu"
"Samsung Galaxy Tab 4","sm-t231"
"Samsung Galaxy Tab 4","sm-t237p"
"Samsung Galaxy Tab 4","sm-t330nu"
"Samsung Galaxy Tab 4","sm-t335"
"SAMSUNG Galaxy Tab 4","sm-t330"
"Samsung Galaxy Tab 4","sm-t235"
"Samsung Galaxy Tab 4","sm-t531"
"Samsung Galaxy Tab 4","sm-t337t"
"Samsung Galaxy Tab 4","sm-t535"
"Samsung Galaxy Tab 4","sm-t533"
"Samsung Galaxy Tab 4","sm-t530nu"
"Samsung Galaxy Tab 4","sm-t337a"
"Samsung Galaxy Tab 4 ","sm-t530"
"Samsung Galaxy Tab 4 ","samsung-sm-t337a"
"Samsung Galaxy Tab 4 7.0","sm-t230"
"Samsung Galaxy Tab 4 NOOK","sm-t230nu"
"Samsung Galaxy Tab A","sm-t580"
"Samsung Galaxy Tab A","sm-t585"
"Samsung Galaxy Tab A","sm-t350"
"Samsung Galaxy Tab A","sm-t380"
"Samsung Galaxy Tab A","sm-p580"
"SAMSUNG Galaxy Tab A","sm-p5550"
"Samsung Galaxy Tab A","sm-t355y"
"Samsung Galaxy Tab A","sm-t285"
"Samsung Galaxy Tab A","sm-p550"
"Samsung Galaxy Tab A","sm-t357t"
"Samsung Galaxy Tab A ","sm-t280"
"Samsung Galaxy Tab Active","sm-t365"
"Samsung Galaxy Tab E","sm-t560"
"Samsung Galaxy Tab E","sm-t116bu"
"Samsung Galaxy Tab E","sm-t567v"
"Samsung Galaxy Tab E","sm-t561"
"Samsung Galaxy Tab E","sm-t377v"
"Samsung Galaxy Tab E","sm-t377a"
"Samsung Galaxy Tab E","sm-t378v"
"Samsung Galaxy Tab E","sm-t377t"
"Samsung Galaxy Tab E 8.0","sm-t377p"
"Samsung Galaxy Tab E LTE","sm-t377w"
"Samsung Galaxy Tab Pro 12.2","sm-t900"
"Samsung Galaxy Tab S","sm-t800"
"Samsung Galaxy Tab S","sm-t705"
"Samsung Galaxy Tab S","sm-t805"
"Samsung Galaxy Tab S","sm-t700"
"Samsung Galaxy Tab S2","sm-t813"
"Samsung Galaxy Tab S2","sm-t817v"
"Samsung Galaxy Tab S2","sm-t810"
"Samsung Galaxy Tab S2","sm-t713"
"Samsung Galaxy Tab S2","sm-t819"
"Samsung Galaxy Tab S2","sm-t710"
"Samsung Galaxy Tab S2","sm-t815"
"Samsung Galaxy Tab S2","sm-t719"
"Samsung Galaxy Tab S2","sm-t715"
"Samsung Galaxy Tab S3","sm-t820"
"Samsung Galaxy Tab S3","sm-t825"
"Samsung Galaxy TabPRO","sm-t520"
"Samsung Galaxy TabPRO 8.4","sm-t320"
"Samsung Galaxy Trend 2 Lite","sm-g318h"
"Samsung Galaxy Trend Plus","gt-s7580"
"Samsung Galaxy View","sm-t670"
"Samsung Galaxy Wide 2","sm-j727s"
"Samsung Galaxy Win 2","sm-g360bt"
"Samsung Galaxy Win Duos","gt-i8552"
"Samsung Galaxy Win Duos ","gt-i8552b"
"Samsung Galaxy Xcover 3","sm-g388f"
"Samsung Galaxy Xcover 3","sm-g389f"
"Samsung Galaxy Xcover 4","sm-g390f"
"Samsung Galxy C5 Pro Dual ","sm-c5010"
"Samsung I9506 Galaxy S4","i9506"
"Samsung Samsung Galaxy J3","sm-j320fn"
"Samsung SM T555","sm-t555"
"Samusng Galaxy J3 Pop","sm-j327r7"
"Sharp 507SH","507sh"
"Sharp Aquos Ever SH-04G","sh-04g"
"Sharp AQUOS ZETA","sh-01g"
"Sharp Aquos Zeta SH-04H","sh-04h"
"Sharp X1","x1"
"Smartphone Logicom L-ement 403","l-ement 403"
"Sony Ericsson K200","k200"
"Sony Experia X","f5121"
"Sony Experia X Compact ","f5321"
"Sony Experia XA1 Ultra","g3221"
"Sony Experia Z3","d6603"
"SONY SoftBank Xperia Z5","501so"
"Sony Xperia C3","d2502"
"Sony Xperia C3","d2533"
"Sony Xperia C4","e5303"
"Sony XPERIA C5","e5533"
"Sony XPERIA C5 Ultra","e5553"
"Sony Xperia E1","d2005"
"Sony XPERIA E3","d2203"
"Sony Xperia E4","e2105"
"Sony Xperia E4g","e2003"
"Sony XPERIA E5","f3311"
"Sony Xperia E5","f3313"
"Sony Xperia L","c2105"
"Sony Xperia L1","g3311"
"Sony Xperia L1","g3313"
"Sony Xperia L1","g3312"
"Sony Xperia M","c1905"
"Sony XPERIA M2","d2303"
"Sony Xperia M2 Aqua","d2403"
"Sony Xperia M4 Aqua","e2333"
"Sony Xperia M4 Aqua","e2306"
"Sony XPERIA M4 Aqua","e2303"
"Sony XPERIA M5","e5603"
"Sony Xperia SP","c5303"
"Sony Xperia T2","d5322"
"Sony XPERIA T3","d5103"
"Sony Xperia Tablet Z","sgp321"
"Sony Xperia Tablet Z2","sgp511"
"Sony Xperia Tablet Z2","sgp521"
"Sony Xperia X","f5122"
"SONY Xperia X","sov33"
"Sony Xperia X","502so"
"Sony Xperia X Compact","so-02j"
"Sony Xperia X Performance","so-04h"
"Sony Xperia X Performance","f8131"
"Sony XPERIA XA","f3111"
"Sony Xperia XA","f3212"
"Sony Xperia XA","f3113"
"Sony Xperia XA Dual","f3112"
"Sony Xperia XA Ultra","f3213"
"Sony Xperia XA Ultra","f3211"
"Sony Xperia XA1","g3121"
"Sony Xperia XA1","g3123"
"Sony Xperia XA1","g3112"
"Sony Xperia XA1 Plus","g3412"
"Sony Xperia XA1 Plus ","g3421"
"Sony Xperia XA1 Ultra","g3212"
"Sony Xperia XA1 Ultra","g3223"
"Sony Xperia XA2","h4113"
"Sony Xperia XA2","h3113"
"Sony XPERIA XA2 Ultra","h3213"
"Sony Xperia XZ","f8331"
"Sony Xperia XZ","sov34"
"Sony Xperia xz","601so"
"Sony Xperia XZ","f8332"
"Sony Xperia XZ","so-01j"
"Sony Xperia XZ Premium","so-04j"
"Sony Xperia XZ Premium ","g8142"
"Sony Xperia XZ Premium Noir","g8141"
"Sony Xperia XZ1","701so"
"Sony Xperia XZ1","g8342"
"Sony Xperia XZ1","so-01k"
"Sony Xperia XZ1","sov36"
"Sony Xperia XZ1 ","g8341"
"Sony Xperia XZ1 Compact","g8441"
"Sony Xperia XZ1 Compact","so-02k"
"Sony Xperia XZ2","h8314"
"Sony Xperia XZ2","h8324"
"Sony Xperia XZ2","h8266"
"Sony Xperia XZ2","h8216"
"Sony Xperia XZs","sov35"
"SONY Xperia XZs","602so"
"Sony Xperia XZs","so-03j"
"Sony Xperia Z","c6603"
"Sony Xperia Z1","c6903"
"Sony Xperia Z1 Compact","d5503"
"Sony Xperia Z2","d6503"
"Sony Xperia Z2","d6502"
"Sony Xperia Z2","sgp512"
"Sony Xperia Z3","so-01g"
"Sony Xperia Z3","sgp611"
"Sony Xperia Z3","d6633"
"Sony Xperia Z3 Compact","so-02g"
"Sony XPERIA Z3 Compact","d5803"
"Sony Xperia Z3 SOL26","sol26"
"Sony Xperia Z3+","e6553"
"Sony Xperia Z4","sov31"
"Sony Xperia Z5","e6653"
"Sony Xperia Z5","so-01h"
"Sony Xperia Z5","e6683"
"Sony Xperia Z5","e6633"
"Sony Xperia Z5","e6603"
"Sony Xperia Z5 ","e6833"
"Sony Xperia Z5 Compact","e5823"
"Sony Xperia Z5 Compact","so-02h"
"Sony Xperia Z5 Compact","e5803"
"Sony Xperia Z5 Premium","so-03h"
"Sony XPERIA Z5 Premium","e6853"
"T-Mobile REVVL Plus","c3701a"
"T-Mobile REVVL Plus","revvlplus c3701a"
"TABLETTE POLAROID MID4X10","mid4x10"
"Tecno Boom J8","boom j8"
"Tecno Boom J8","tecno-j8"
"Tecno Camon Cx","camon cx"
"tecno camon cx","tecno camon cx"
"Tecno Camon CX","cx air"
"Tecno L9 Plus","l9 plus"
"Tecno L9 Plus","tecno l9 plus"
"Tecno Spark K7","tecno k7"
"Tecno Spark Plus K9","tecno k9"
"TECNO W3","w3"
"Tecno W3","tecno-w3"
"Tecno W4","w4"
"Tecno W5","tecno-w5"
"TECNO WX3","wx3"
"Telstra Evolution - T80","t80"
"Tesco Hudl 2","hudl 2"
"Test Wiko View Prime","view prime"
"Trekker M1 Core","trekker-m1 core"
"ulefone t1","t1"
"Unimax U673C","u673c"
"Verizon Ellipsis 10","qtair7"
"Verizon Ellipsis 7","qmv7b"
"Verizon Ellipsis 7","qmv7a"
"Verizon Ellipsis 8","qtaqz3"
"Vernee Thor","thor"
"Vestel Venus 5.0","vsp250g"
"Vestel Venus 5000","venus 5000 2gb"
"Vestel Venüs E3","venus e3"
"Vestel Venus V3","v3 5580"
"Vestel Venus V3","venus v3 5570"
"Vestel Venus V3","venus v3 s010"
"Vestel Venus V3","venus v3 5040 2gb"
"Vestel Venus V3","v3 5070"
"Vestel Venus V3","v3 5580 dual"
"Vestel Venus V3","venus v3 5020"
"Vestel Venus V3","venus v3 5580"
"Vestel Venus V3 5040","venus v3 5040"
"Vestel Venus V4","venus v4"
"Vestel Venus V5","venus v5"
"Vestel Venus Z10","venus z10"
"vivo V5","vivo 1601"
"Vivo V5 1601","1601"
"Vivo V7","vivo 1718"
"Vivo V9 Youth","vivo 1727"
"vivo Y53","y53 1606"
"Vivo Y53","vivo 1606"
"Vivo Y53i","1606"
"vivo Y55s","vivo 1610"
"Vivo Y69","vivo 1714"
"Vivo Y71","vivo 1724"
"Vodafone Smart E8","vfd 510"
"Vodafone Smart N8","vfd610"
"Vodafone Smart N8","vfd 610"
"Vodafone Smart Platinum 7","vfd 900"
"VODAFONE Smart Prime 7","vfd 600"
"Vodafone Smart Speed 6","vf-795"
"Vodafone Smart turbo 7","vfd 500"
"Vodafone Smart ultra 6","smart ultra 6"
"Vodafone Smart ultra 7","vfd 700"
"Vodafone Smart V8","vfd 710"
"Vodafone Tab Prime 6","vf1497"
"Vodafone Tab Prime 7","vfd 1400"
"Wiko Fever","fever"
"Wiko Freddy","freddy"
"Wiko Harry","harry"
"Wiko Highway Star","highway star"
"Wiko Jerry","jerry"
"Wiko Jerry 2","jerry 2"
"Wiko Lenny 2","lenny2"
"Wiko Lenny 2","lenny 2"
"Wiko LENNY 3","lenny3"
"Wiko LENNY 3","lenny 3"
"Wiko LENNY 4","lenny4"
"Wiko LENNY 4","lenny 4"
"Wiko Lenny 4 Plus","lenny4 plus"
"Wiko Pulp","pulp"
"Wiko Pulp","pulp 4g"
"Wiko Pulp Fab 4G","pulp fab 4g"
"Wiko Rainbow","rainbow 4g"
"Wiko Rainbow","rainbow"
"Wiko Rainbow Jam","rainbow jam"
"Wiko Rainbow Jam","rainbow jam 4g"
"Wiko Rainbow Lite","rainbow lite 4g"
"Wiko Ridge","ridge 4g"
"Wiko Robby","robby"
"Wiko Sunny","sunny"
"Wiko SUNNY 2 Plus","sunny 2 plus"
"Wiko Sunset2","sunset2"
"Wiko Tommy","tommy"
"Wiko TOMMY 2","tommy 2"
"Wiko U FEEL LITE","u feel lite"
"Wiko U FEEL PRIME","u feel prime"
"Wiko U Pulse","puls"
"Wiko U Pulse Lite","u pulse lite"
"Wiko Ufeel","u feel"
"Wiko Upulse","u pulse"
"Wiko View","view"
"Wiko View XL","view xl"
"Wiko WIM LITE","wim lite"
"Wileyfox Swift 2 Plus","swift 2 plus"
"Wileyfox Swift 2 Plus","swift 2"
"Wileyfox Swift 2X","swift 2 x"
"Wintouch M703 Phone Tab","m703"
"Xiaomi Mi 4","mi 4w"
"Xiaomi Mi 4","mi 4lte"
"Xiaomi Mi 4c","mi-4c"
"Xiaomi Mi 5","mi 5"
"Xiaomi Mi 5s","mi 5s"
"Xiaomi Mi 5X","mi 5x"
"Xiaomi Mi 6","mi 6"
"Xiaomi Mi 8","mi 8"
"Xiaomi Mi A1","mi a1"
"Xiaomi Mi Max","max"
"Xiaomi Mi Max","mi max"
"Xiaomi Mi Max 2","mi max 2"
"Xiaomi Mi Mix 2","mix 2"
"Xiaomi MI Mix 2","mi mix 2"
"Xiaomi Mi Note 2","mi note 2"
"Xiaomi Mi Note 3","mi note 3"
"Xiaomi Mi5s Plus","mi 5s plus"
"Xiaomi MIX 2","mix"
"Xiaomi Redmi 3","redmi 3"
"Xiaomi redmi 3s","redmi 3s"
"Xiaomi Redmi 4A","redmi 4a"
"Xiaomi Redmi 4X","redmi 4x"
"Xiaomi Redmi 5","redmi 5"
"Xiaomi Redmi 5 Plus","redmi 5 plus"
"Xiaomi Redmi 5a","redmi 5a"
"Xiaomi Redmi Note 2","redmi note 2"
"Xiaomi Redmi Note 3","redmi note 3"
"Xiaomi Redmi Note 4","redmi note 4"
"Xiaomi Redmi Note 4","redmi 4"
"Xiaomi Redmi Note 4X","redmi note 4x"
"Xiaomi Redmi Note 5","redmi note 5"
"Xiaomi Redmi Note 5","redmi note 5 pro"
"Xiaomi Redmi Note 5A","redmi note 5a"
"Xiaomi Redmi Note 5A Prime","redmi note 5a prime"
"Xiaomi Redmi Pro","redmi pro"
"Xiaomi Redmi S2","redmi s2"
"Xperia Z5 ","sov32"
"Yuntab K107","k107"
"ZTE Avid 4","z855"
"ZTE Avid Plus","z828"
"ZTE AVID TRIO","z833"
"ZTE Axon 7","zte a2017g"
"ZTE Axon 7","a2017u"
"ZTE Axon 7","a2017g"
"ZTE Axon 7 mini","zte b2017g"
"ZTE Axon 7 Mini","b2017g"
"ZTE Blade A452","blade a452"
"ZTE Blade A462","zte blade a462"
"ZTE Blade A506","blade a506"
"ZTE Blade A510","blade a510"
"ZTE Blade A510","zte blade a510"
"ZTE Blade A511","zte blade a511"
"ZTE Blade A512","blade a512"
"ZTE Blade A520","blade a520"
"ZTE Blade A602","blade a602"
"ZTE Blade A610 Plus","blade a610"
"ZTE Blade A610 Plus","zte blade a610"
"ZTE Blade A612","blade a612"
"ZTE Blade Force","n9517"
"ZTE Blade L110","blade l110"
"ZTE Blade L2","blade l2 plus"
"ZTE Blade L3","zte blade l3"
"ZTE Blade L3","blade l3"
"ZTE Blade L5","zte blade l5"
"ZTE Blade L5 Plus","blade l5 plus"
"ZTE Blade L5 Plus","blade l5"
"ZTE Blade L7","blade l7"
"ZTE Blade Max 3","z986u"
"ZTE Blade Spark","z971"
"ZTE Blade V0730","blade v0730"
"ZTE Blade V580","blade v580"
"ZTE Blade V6","blade v6"
"ZTE Blade V6 Plus","blade v6 plus"
"ZTE Blade V7","zte blade v7"
"ZTE Blade V7","blade v7"
"ZTE Blade V7 Lite","blade v0720"
"ZTE Blade V7 Lite","zte blade v7 lite"
"ZTE Blade V7 Lite","zte blade v0720"
"ZTE Blade V7 Lite","blade v7 lite"
"ZTE Blade V8","blade v0800"
"ZTE Blade V8","blade v8 se"
"ZTE Blade Vantage","z839"
"ZTE Blade X","z965"
"ZTE Blade X Max","z983"
"zte blade x9","tt175"
"ZTE Blade Z","z982"
"ZTE Citrine","z717vl"
"ZTE Citrine","z716bl"
"ZTE Easy Touch Discovery 2","discovery ii"
"ZTE Grand X 4","z956"
"ZTE Grand X Max 2","z988"
"ZTE Grand X Max+","z987"
"ZTE Grand X3","z959"
"ZTE Jasper","z718tl"
"ZTE Lever","z936l"
"ZTE Majesty Pro","z798bl"
"ZTE Majesty Pro ","z799vl"
"ZTE Majesty Pro Plus LTE","z899vl"
"ZTE Maven","z812"
"ZTE Maven 2","z831"
"ZTE Maven 3","z835"
"ZTE Max Blue","z986dl"
"ZTE Max Duo 4G LTE","z963vl"
"ZTE MAX XL","n9560"
"ZTE Midnight Pro","z828tl"
"ZTE N817","n817"
"ZTE N818","n818s"
"ZTE N818","n818"
"ZTE Overture 3","z851m"
"ZTE Prestige","n9132"
"ZTE Prestige 2","n9136"
"ZTE Sonata 3","z832"
"ZTE Speed","n9130"
"ZTE Temp X N9137","n9137"
"ZTE Trek 2","k88"
"ZTE Warp 7","n9519"
"ZTE Warp Elite","n9518"
"ZTE Z837VL","z837vl"
"ZTE ZFive 2","z836bl"
"ZTE ZFive C","z558vl"
"ZTE ZFive G","z557bl"
"ZTE ZMAX 2","z958"
"ZTE Zmax Champ","z917vl"
"ZTE Zmax Pro","z981"
"ZTE ZMax Z970","z970"
"ZTE Zmax-One","z719dl"
"ZTE Zpad","k90u"
